id,Spruce_x,Sliver Fir_x,Douglas Fir_x,Pine_x,Oak_x,Beech_x,Sycamore_x,Ash_x,sum,Spruce_y,Sliver Fir_y,Douglas Fir_y,Pine_y,Oak_y,Beech_y,Sycamore_y,Ash_y,Others
186271.0,True,True,True,True,True,True,True,True,8,0.75,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0
353259.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0
250386.0,True,True,True,True,True,True,True,True,8,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
157163.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253426.0,True,True,True,True,True,True,True,True,8,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
217890.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.2
379019.0,True,True,True,True,True,True,True,True,8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338271.0,True,True,True,True,True,True,True,True,8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276829.0,True,True,True,True,True,True,True,True,8,0.3,0.45,0.0,0.25,0.0,0.0,0.0,0.0,0.0
406026.0,True,True,True,True,True,True,True,True,8,0.2,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0
161835.0,True,True,True,True,True,True,True,True,8,0.5,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0
210149.0,True,True,True,True,True,True,True,True,8,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
384715.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18584.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80266.0,True,True,True,True,True,True,True,True,8,0.3,0.35,0.2,0.1,0.0,0.05,0.0,0.0,0.0
186283.0,True,True,True,True,True,True,True,True,8,0.3,0.4,0.05,0.1,0.0,0.15,0.0,0.0,0.0
120559.0,True,True,True,True,True,True,True,True,8,0.3,0.1,0.0,0.45,0.05,0.1,0.0,0.0,0.0
337441.0,True,True,True,True,True,True,True,True,8,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119422.0,True,True,True,True,True,True,True,True,8,0.15,0.15,0.0,0.0,0.0,0.7,0.0,0.0,0.0
123123.0,True,True,True,True,True,True,True,True,8,0.35,0.5,0.0,0.1,0.0,0.05,0.0,0.0,0.0
229914.0,True,True,True,True,True,True,True,True,8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13552.0,True,True,True,True,True,True,True,True,8,0.15,0.0,0.7,0.1,0.0,0.05,0.0,0.0,0.0
110326.0,True,True,True,True,True,True,True,True,8,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
325798.0,True,True,True,True,True,True,True,True,8,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
